Sel ternaire	MXO	Ag2Cr2O7	Ag_{2}Cr{_2}O{_7}	dichromate d'argent(I)	432	0,159
Base	MOH	Li(OH)	LiOH	hydroxyde de lithium	24	12,3
Sel ternaire	MXO	Na3PO4	Na_{3}PO{_4}	phosphate de sodium	164	12,1
Sel binaire	MX	CoCl2	CoCl_{2}	chlorure de cobalt(II)	129	52,9
Base	MOH	Na(OH)	NaOH	hydroxyde de sodium	40	109
Sel ternaire	MXO	LiClO3	LiClO{_3}	chlorate de lithium	90	372
Acide binaire	HX	H2S	H_{2}S	acide sulfhydrique	34	0,33
Sel binaire	MX	SbF3	SbF_{3}	fluorure d'antimoine	179	444
Sel binaire	MX	LiF	LiF	fluorure de lithium	26	0,16
Sel ternaire	MXO	KBrO3	KBrO{_3}	bromate de potassium	167	6,91
Sel binaire	MX	NaF	NaF	fluorure de sodium	42	4,06
Sel ternaire	MXO	Sr(C2H3O2)2	Sr(CH{_2}COOH)_{2}	acetate de strontium	206	41,1
Sel binaire	MX	CaBr2	CaBr_{2}	bromure de calcium	200	143
Sel binaire	MX	MnBr2	MnBr_{2}	bromure de manganèse(II)	215	147
Acide binaire	HX	HCl	HCl	acide chlorhydrique	36	70
Sel binaire	MX	NaCl	NaCl	chlorure de sodium	58	35,9
Sel ternaire	MXO	RbNO3	RbNO{_3}	nitrate de rubidium	147	52,9
Sel ternaire	MXO	Tl2SO4	Tl_{2}SO{_4}	sulfate de thallium(I)	472	4,87
Sel ternaire	MXO	AgMnO4	AgMnO{_4}	permanganate d'argent(I)	227	0,9
Sel binaire	MX	NaI	NaI	iodure de sodium	150	178
Oxyde métallique	MO	BaO	BaO	oxyde de baryum	153	3,48
Sel ternaire	MXO	Ca(MnO4)2	Ca(MnO{_4})_{2}	permanganate de calcium	278	338
Sel ternaire	MXO	Rb2SO4	Rb_{2}SO{_4}	sulfate de rubidium	234	48,1
Sel binaire	MX	TlF	TlF	fluorure de thallium(I)	223	78
Base	MOH	Tl(OH)	TlOH	hydroxyde de thallium(I)	221	35
Sel ternaire	MXO	KClO3	KClO{_3}	chlorate de potassium	122	7,3
Sel ternaire	MXO	NaCN	NaCN	cyanure de sodium	49	58,7
Base	MOH	K(OH)	KOH	hydroxyde de potassium	56	112
Sel ternaire	MXO	Mg(ClO4)2	Mg(ClO{_4})_{2}	perchlorate de magnésium	222	49,6
Sel ternaire	MXO	Na2CrO4	Na_{2}CrO{_4}	chromate de sodium	162	84
Sel binaire	MX	KI	KI	iodure de potassium	166	144
Sel binaire	MX	CuCl2	CuCl_{2}	chlorure de cuivre(II)	134	73
Sel binaire	MX	LiCl	LiCl	chlorure de lithium	42	83,5
Sel ternaire	MXO	K2SO4	K_{2}SO{_4}	sulfate de potassium	142	11,1
Sel binaire	MX	SrI2	SrI_{2}	iodure de strontium	342	178
Sel ternaire	MXO	Al(NO3)3	Al(NO{_3})_{3}	nitrate d'aluminium	213	73,9
Sel ternaire	MXO	(NH4)2SO3	{NH_{4}}_{2}SO{_3}	sulfite d'ammonium	116	60,8
Sel ternaire	MXO	NaIO3	NaIO{_3}	iodate de sodium	198	8,08
Sel ternaire	MXO	Ce(C2H3O2)3	Ce(CH{_2}COOH)_{3}	acetate de cérium	317	0,35
Base	MOH	Ca(OH)2	Ca(OH)_{2}	hydroxyde de calcium	74	0,173
