Acétate d'argent 	AgC2H3O2 	1,05
Acétate de baryum 	Ba(C2H3O2)2 	72
Acétate de cérium(III) 	Ce(C2H3O2)3 	0,35
Acétate de césium 	CsC2H3O2 	1010
Acétate de lithium 	LiC2H3O2 	40,8
Acétate de magnésium 	Mg(C2H3O2)2 	53,4
Acétate de mercure(II) 	Hg(C2H3O2)2 	25
Acétate de plomb(II) 	Pb(C2H3O2)2 	44,3
Acétate de potassium 	KC2H3O2 	256
Acétate de sodium 	CH3COONa 	46,4
Acétate de strontium 	Sr(C2H3O2)2 	41,1
Acétate de zinc 	Zn(C2H3O2)2 	30
Arséniate de potassium 	K3AsO4 	19
Azoture d'ammonium 	NH4N3 	25,3
Azoture de baryum 	Ba(N3)2 	17,4
Azoture de calcium 	Ca(N3)2 	45
Azoture de césium 	CsN3 	307
Azoture de lithium 	LiN3 	67,2
Azoture de mercure(I) 	Hg2(N3)2 	0,02727
Azoture de plomb(II) 	Pb(N3)2 	0,0249
Azoture de potassium 	KN3 	50,8
Azoture de sodium 	NaN3 	40,8
Azoture de thallium(I) 	TlN3 	0,364
Bromate d'argent 	AgBrO3 	0,16
Bromate de cadmium 	Cd(BrO3)2 	125
Bromate de calcium 	Ca(BrO3)2 	230
Bromate de césium 	CsBrO3 	3,66
Bromate de lanthane(III) 	La(BrO3)3 	149
Bromate de lithium 	LiBrO3 	179
Bromate de néodyme(III) 	Nd(BrO3)3 	75,6
Bromate de plomb(II) 	Pb(BrO3)2 	7,92
Bromate de potassium 	KBrO3 	6,91
Bromate de sodium 	NaBrO3 	36,4
Bromure d'ammonium 	NH4Br 	76,4
Bromure de baryum 	BaBr2 	104
Bromure de cadmium 	CdBr2 	98,8
Bromure de calcium 	CaBr2 	143
Bromure de césium 	CsBr 	108
Bromure de cobalt(II) 	CoBr2 	112
Bromure de cuivre(II) 	CuBr2 	126
Bromure de fer(II) 	FeBr2 	117
Bromure de lithium 	LiBr 	160
Bromure de magnésium 	MgBr2 	101
Bromure de manganese(II) 	MnBr2 	147
Bromure de mercure(II) 	HgBr2 	0,56
Bromure de nickel(II) 	NiBr2 	131
Bromure de plomb(II) 	PbBr2 	0,86
Bromure de potassium 	KBr 	65,3
Bromure de rubidium 	RbBr 	108
Bromure de sodium 	NaBr 	90,8
Bromure de strontium 	SrBr2 	102
Bromure de thallium(I) 	TlBr 	0,048
Bromure de zinc 	ZnBr2 	446
Carbonate d'ammonium 	(NH4)2CO3 	100
Carbonate de béryllium 	BeCO3 	0,218
Carbonate de lithium 	Li2CO3 	1,33
Carbonate de magnésium 	MgCO3 	0,039
Carbonate de potassium 	K2CO3 	111
Carbonate de sodium 	Na2CO3 	21,5
Carbonate de thallium(I) 	Tl2CO3 	5,3
Chlorate d'ammonium 	NH4ClO3 	28,7
Chlorate d'argent 	AgClO3 	15,3
Chlorate de baryum 	Ba(ClO3)2 	25,26
Chlorate de cadmium 	Cd(ClO3)2 	322
Chlorate de calcium 	Ca(ClO3)2 	209
Chlorate de césium 	CsClO3 	6,2
Chlorate de cobalt(II) 	Co(ClO3)2 	180
Chlorate de cuivre(II) 	Cu(ClO3)2 	242
Chlorate de lithium 	LiClO3 	372
Chlorate de magnésium 	Mg(ClO3)2 	135
Chlorate de mercure(II) 	Hg(ClO3)2 	25
Chlorate de nickel(II) 	Ni(ClO3)2 	133
Chlorate de plomb(II) 	Pb(ClO3)2 	144
Chlorate de potassium 	KClO3 	7,3
Chlorate de rubidium 	RbClO3 	5,4
Chlorate de sodium 	NaClO3 	95,9
Chlorate de strontium 	SrClO3 	175
Chlorate de thallium(I) 	TlClO3 	3,92
Chlorate de zinc 	Zn(ClO3)2 	209
Chlorite d'argent 	AgClO2 	0,248
Chlorite de baryum 	Ba(ClO2)2 	45,4
Chlorure d'aluminium 	AlCl3 	45,8
Chlorure d'ammonium 	NH4Cl 	37,2
Chlorure d'antimoine 	SbCl3 	910
Chlorure d'hydrogène 	HCl 	70
Chlorure d'or(III) 	AuCl3 	68
Chlorure de baryum 	BaCl2 	35,8
Chlorure de béryllium 	BeCl2 	42
